title,text
Flying fox crossbow,It was a great experience over here it was fun but I liked the swoop swing flying fox and cross bow the most all the activities were fantastic The staff is very polite and helpful specially me kawsik and  marshal nikhil over there
Sports Bar Team,"The overall experince was full of thrill and awsomeness,Special thing about della was the management and the facilities they are providing,One more thing be frankly,Today was the first time i played pool,and that too got trained just because of mr.Pallab banerjee,He tought us About the pool activity and helped us knowing more about the game,even miss Nikhat Rana helped us doung the vistual racing activity and all the virtual related games,Iam really speechless about the facilities,and the Hospitality services provided by della,Thank you sooo much to everyone...."
Della Adventure,Rifle shooting with a bullseye!!Discount coupons receivedThe advisor named nirmalkumar was very friendly to help us understand the technique !
Sports Bar Team,Sports gaming is good and good service marshal all ride good Della shooting range best all ride enjoy
A zone Della adventure park,"Enjoying at Della Adventure Park done with Rides Bull ride, Rocket Ejector, Della Knowout wonder experience with Della adventure... Helpful Staff supportive thanks to Mr Tushar and Roshan to suggesting for Activities... Must Visit Della Adventure Park"
Della Shooting,Loved the place! The guy in shooting was nice I hit the bulls eye and also got discount coupon for that the experience was amazing
A zone Della adventure park,It was awesome. Staff was awesome and good . Specially rocket ejector was nice.i enjoyed it most.mr TJ was special person of your staff he suggested us many things. I really enjoyed it.I will like to suggest this to many persons.this is perfect plan for weekend.☺️☺️
All good,"Good concept. Their Activities will keep you busy throughout. All their activities are for adults mostly. Very few of them for kids under 18. Good place to test someone's physical endurance.Just felt terribly sad about an activity. In the Dog Walking activity, you get to walk with a dog. There they have husky and other breeds of dogs that survive only in snowy areas. They keep them in an air conditioned cold room to cope up with that thing. How irony is that since their volunteers write, ""We love animals"". Atleast they should keep only those dog breeds that can withstand lonavala temperature without the need of air conditioners and similar synthetic situations. Let the huskies and similar breeds be freed."
A-Zone in Della Adventures,Good place to spend a day with your friends. The staff here is very friendly. There aren't as many activities as listed I feel. Mr TJ guided us in selecting the best of the activities.
Bubble Soccer,Amazing activity. Thank you Kundan for helping us out with it and also for clicking some awesome pictures. :)
A zone Rocket ejector,I absolutely enjoyed this thrilled ride called rocket ejector. Special thanks to Mr TJ for the support and having my back.Thanks to Kaushik Bala sir for the amazing support as well.Rides such as flying fox land zorbin rope challenge sports bar were exceptionally amazing.I'll come back here again with my family for sure.
Adventure park must to visit.,Park is very nice and Staff and guides are nice and cooperative.With friends it is very fun. Cricket etc . Prasad and Alok in staff are very cooperative.
A zone della Adventure park,Staff is good very caring and best part is roller zorb bull ride aqua zorb is fantastic... Mr tj and a zone team guided me very well..... Will come again and me come soon
Amazing experience,There was great environment. And we enjoyed alot.specially the cricket and archery was amazing. @alokkumarand prasad
Good hospitality,Della was a amezing park....mamrable experience...solid....Prasad n alok too much...thanks bro...good man n good work...
Rocket ejector,I am totally satisfied with the della adventure park. Ejector is crazyyy. Must try and the Marshall's are very kind and nice. 3 cheers♥️🔥 Tj and sujeet rocks..
A zone rocket egector,This was a fun experience we had a great experience in the a Zone rocket egector MR. TJ was a great host and served us greatly
Rocket ejector,It was amazing ride. Glad to come here. All the rides were amazing and few were thrilling.The ambience was awesome. the staff is very cooperative and helpful specially mr tj and mr kawsik bala.
A zone,It was great time with Mr TJ and he given good advise for rocket ejector and he treat us very fruitfully for all his great concerned.
Atv,"It was an amazing experience, Kavita, kundan and palav were really good. Thank you for the experience to all 3 of them. I drove ATV, buggy with a zumbo pass. Got an opportunity to drive unlimited times"
Rocket ejector,Must visit. Wonderful experience. Well trained staff TJ bhai and kausik and give you lots confidence before the ride. All the best for future.
Rocket Ejector,I absolutely enjoyed this thrilled ride over rocket ejector. It's my first time and It was worth it.Special Thanks to TJ and Kaushik for the support.
A Zone,It was awesome experience from start to end in Della's adventure park. Staff was very helpful and guided very well.Mr T J guided and handle the ride very well and it was an awesome experience overall.
A zone rocket ejektor,It was awesome .. specially rocket ejector was excellent😊loved it.Mr Tj guided very well...will suggest every one to visit della once
ATV,Very good experience. Great fun. Best. Will visit again. Must try!!!!!!! Kundan and kavita and Rajesh and sarang were very helpful.
"Rocket ejector, rappling",It was my first visit and it was awesome all the activities were worth of money and i specially liked the rocket ejector and rappling.The staff is awesome they are very helpful specially mr tj and gre kawsik .
ATV,ATV rides were very Enjoyable. All safety measures were kept by staff. Kundan &kavita helped & guided the atv adventure ride. Thanks to all the team for their support & efforts.
A zone rocket ejector,"Amazing experience with wonderful condinator..will visit again..awesome Della rocket ejector, land zibborbing.. thanks to Mr TJ"
Awsome place to visit,Games are wonderful:  nice place n staff: nice ambience n service..Sport bar is fun place... would surely like to visit again though it was my second visit
Rocket ejector,It was my first visit at della addventure park. It was a great experience. I enjoyed a lot here.I have done many activities but i liked the rocket the most. The staff is very polite and helping.Specially mr TJ and gre koushik was there
A zone ,"Simply awesome. Overall activitisbare very good . Especially fish spa and rocket ejector. Perfect place if u r planning a adventure.extreme activities are amazing.overall the della adventure is best place to do activities.Mr.T.J.,service is very good & co operative."
Rocket ejector,Wonderful experience at della adventure park Very helpful mr TJ and gre kawsik.Wonderful ride. And great ambience.
"Wow, its Superb",Its Amazing Birthday experiences all the activities are top class must visit.The Archary is really good. Alok & Prasad are very cooperative
Atv,Its and very amazing experience of my life at della adventure park i enjoyed alot here and i wish i come back very soon i ll miss della adventure park ......And Especially thanks to kavita VipulKundanVishal and team.
Superb della park..nice one..,Food quality delicious. All activities enjoyable. Really interesting activities. They have maintained all the safety.Thank to Prasad and Alok.
Amazing Della nice experience.,Here activity nice and amazing experience. I wish I will be come again as soon. Here cricket supporting staff very co operation specially Prashad and aalok.
Great experience,It was a great experience at Della adventure park and D.A.T.A. Great service and co-operative management. Thank you Mr. Kiran Sonawane and Mr. Ashish helping and doing such a great decoration on my birthday.
Rocket ejector,Awesome ride nice experience staff r to much cooperative and friendly mr.tj is vry good trainer and toom much happy manAnd mr.kaushik is to much coperative for all rides
Della fabulous experience.,It was amazing experience. More than 50+ activities and we could hardly manage 20. Full paisa wasool. Best experience was archery with helpful staff Alok kumar and Prasad. Cheers!! Keep rocking.
Superb Della Park,All over the della adventure park is awesome and I enjoyed shooting n cricket the most @ mr. prasad..
A zone,"It was an excellent experience .As it was birthday,it was a pleasant surprise for me . Excellent management was done and were quite cooperative. Thanks Mr.TJ for your guidance."
Amazing place,It was really fun to visit this place. I really enjoyed cricket session and shooting. Rest of the activities were also fun. It was so nice of Mr. Alok Kumar to assist us during cricket session.
Della shooting,"My experience was very good. Everyone was very friendly and gave instructions properly, especially the shooting range. It's a must visit place definitely."
A zone Dela Adventure,Superb place to visit and staff is also well....superb experience with fish spa #Mr TJ# Roller Job#Rocket ejector
A zone Della adventures,I loved all activities specially rocket den fish spa staff was very helpful specially mr t j and a zone and all marshals and all activities were very safe as marshals guided really well enjoyed a lot ❤️❤️
A zone,Mr TJ was really helpful in suggesting the best rides before we missed the best ones in the park especially swoop swing ride is a must do !
"Great Adventure Sports, Especially A Zone","Great Service from Staff and very Friendly, specifically from me T.J. Excellent rides especially swoop swing which is a must see. Great adventure sports like rappelling and the tallest zip-line in India."
A zone della adventures,"Amazing, TJ was the most helpful. Activities amazing, couldn’t have asked for more. Absolutely worth it. Swoop swing is a must"
A zone della adventures,"Very good service, activities liked cricket and indoor games. Our door was also good archery and shooting was marvellous. Fish pedicure was excellent the guy Mr T J looked after the activity quite well and also briefed the benefits of pedicure by fish. This was overall great experience in Della resort and will recommend to my friend and relatives. Good for family outing, next time we can try staying here and enjoying to the fullest."
Pageant,Della is such heavenly place to stay and great ambience to relax . Breathing fresh air is blessing and Della has such amazing atmosphere. The food is so delicious and lots of varieties. If your looking for a vacation spot with adventures then Della is the right one . I travelled with my team and had great time at Della . I love della♥️
A zone - della adventure park,Wonderful park. Enjoyed for 2 days. Evryone must visit especially for swoop and zone A. Great hospitality by Mr. TJ and wonderful customer service.
Amazing Della,Great hospitality Super supportive staff.I had an amazing game of cricket assisted by Mr.Prasad....
Rocket ejector,It was awesome and experience was great. We will sure try to visit again...Mr.TJ...Kaushik....we love Della
Rocket ejector,Perfect family spot. Staff are super exited and helpful. Dog walk are very fun. Tj and Kawsik are very spontaneous and helpful in their job.
Rocket Ejector,"Great guide,help and motivation by the host.We took the luxury room package... contains good amount of activities."
Rocket ejector,Della adventure park is awesome all rides were great I liked the rocket ejector it was very thrilling.The staff was very helpful and supportive Mr Tj and Mr kawsik was there to guide us It was a great experience.
Rocket ejector,Satisfied. Very friendly staff. TJ and kawshik explainer the process properly. And it was very much fun and awesome. The moment it goes up its like you and in a launcher
Rocket ejector ,"The staff is very nice and friendly, they make the ride fun filled. The ride operator Tj and Kaushik are very friendly and nice"
Rocket ejoctor,"It was my first experience of rocket ejoctor, it was so amazing and thrilling,thanx to TJ who made me comfortable for this ride. And thanx to kaushik for such a great gesture . Thank you."
Della shooting,Hitting bulls eye in shooting was awesome..Staff is excellent. And had good training session with Nirmal. Thanks Della team.
ATV,Staff is outstanding. I hope they continue and bring enjoyment to everybody . Kavita from ATV rides was very attentive towards guest hatts off to team Della . Suggest a jumbo pack for everyone if u visit della.
A zone riders,It was an exciting and challenging day ... TJ was osum guide he kept motivating us to complete the roller zorb .. Rappling was the highlight for me .. High rope was full of thrill ..also had fun on double seat cycle... I am glad I completed all the challenges I took .. It's amazing place to be .... 😃
A zone roller zorb,Perfect action. Amazing support staff. Mr. TJ and A zone team was very supportive and helped us have fun by guiding us well. Gre team (Kaushik)  was also helpful.
Atv,We visit first time visit in della it's fantastic place for visit againAll people in this premise is cooperative all activities are very good am happy to visit here.(Guide with Kavita and Kundan)Mahade
ATV parts,"One important thing, its awesome 😍This adventure park was a visit on the occasion of my birthday. I specially like the ATV Activities organised at the park. The guys here really take care and make sure everything is smooth. Infact, they do teach you some basics so that you can enjoy.Thank you guys, Kundan & Kavita for managing perfect safety to the guest's.Keep up the good work"
Drat bike,No words excellent all write are most interesting and excellent if you visit della advanture please make sure you do drat bike
A Zone,I came to della adventure park for the first time and i found it awesome.I have done so many activities bt i liked rocket ejector and swoop swing the most.It was a great experience over here and very thrilling.The staff behaviour was good all were supportive and helpful but Mr. Tj and Mr kawsik was there to guide us.
A zone,Awesome rides unlimited fun.Mr.Tj at A zone team did an amazing job with roller jorb and rocket ejecter
 A zone ,Della adventure park is one of the best adventures park I have ever visited.All the activities were awesome. And the best were the extreme activities I liked many activities bt swoop swing was the best. The ambience was good all the staff is cooperative and helpful specially GRE kawsik and Mr T.J. Helped us a lot.Full paisa wasool adventure park. Wanted to come back here again👌👌👌❤️❤️❤️😍😍😃
Della shooting Range,Shooting and archery were very good ..the della staff especially Nirmal Kumar aided us in archery and shooting ..kudos to the della adventure team..!! Great experience ..😍
Good upto some extent,"The adventures were Quite good enough. But I would recommend to include all adventure such long rope,  atv ,bumper rides all these things should be included as you are charging very high that is the reason ."
Della shooting,The adventure in the Della was amazing and enjoyed the shooting part with shooting trainer nirmal Kumar was amazing under his guidance got to hit bullseye and the hospitality was good.
A zone,My experince was totaly gud and all the members of della was amazing. I like dog walk most and thet have around 16 to 17 dog breads and all the other activies are amazing. Few activities are very thrilling.I was staying in villa and i came here for a wedding event of my family. It was really awesome to stay at this kind of villas and the service was just awesome.I came here before 3 times and all the time i got satisfied with the service. I met Mr kawsik bala and Mr TJ over there and they were awesome to help and guide us.
A zone rocket ejector,"It was a amazing experience at della adventure park. We had done so many activities all of them were fantastic. But i mostly liked rocket ejector, bull ride and land zorbing also few more very nice ambience and very suitable place to do activities. The staff was very good always ready to help other staff.Speciall mr Tj and GRE Mr. kawsik was there to breef us about the activities and about the adventure park. They helped us knowing the park and activities. Appreciate the work of della adventures staff.Hope to come here again and do the activities again"
Rocket ejector,This is a great place for adventure activities. We have done many activities and all were awesome and full of thrilling. All the staff was very polite and ready to help Mr TJ and gre kawsik were there to help us and guide us about the activities.great experience suggests everyone to visit
a zone rides,"i have experienced the adventure for the first time we have enjoyed all the activities we hade too much fun we liked land zorbing , rope course activities. and then we liked rocket ejector it was the most thrilling activity i have done. we liked the ambience its very awesome. all the staff is good there and they are very helpfull and always ready for the help and make our rides better special thanks to Mr TJ and gre kawsik  and also the rappling was good. and also recommand everyone to do all the activities. I’m staying here and also i liked the stay rooms were awesome and the service is also brillent. recommand everyone to visit the Della adventure park. and one suggestion to everyone to buy jumbo passses to acces all the extreme activities. plzz doo visit best place to try... love it.. very safe & hygenic, paisa vasul👍👍👍👍👍"
Buggi ride and ATV ride,It's awesome experience kundan and Vishal are so amazing for confidence boosting and Very helpful in nature.
della Adventure Shooting Range,I visited Della on 27th Jan 2020. Its very great experience. I played bulls eye hit in shooting. Mr. Nirmal Kumar explained very well about shooting.
A zone rocket ejector,Mr. TJ from A Zone team gave proper guidance regarding the activity.Excellent experience. It was first time for us. All activities were up to the mark. Had an awesome experience. The staff was very much well mannered and supportive. Safety under all activities  was taken care properly.
Rocket ejector,One of the most amazing rides in the all day pass. The adrenaline you get it crazy. Worth a try. Definitely. Tushar is an amazing guide and keeps up the mood! Worth it!
ATV,"Ride was really good. Experience rider trainers Mr.Kundan, Mr.Okmar & Mr.Avinash has really done a wonderful job explaining and assisting us. Would totally recommend."
A zone rocket ejector,"We started our with low expectation but the whole experiece was execellet .The staff a very helpful and expert in thier own rides.We got complete with information about rides before doing it.The swing was excellent very adveturious,this was my first ride ever which went flawless.Then best part was dirt bike ride and zipline, Mr TJ was very informative and polite to every questions we asked and made our whole experience very flawless.All n all good .10 out of 10.Thanks to all staff.Love DELLA ADVENTURE."
Sport bar,Activities are very good.Vitthal car racing as well as many other games are actractive for kids.Had a great time here.
Fun and fantastic dellas,Dellas is 1 of the finest experience around MumbaiJust loved the time hereRelish your cricket experience and adventure activities is just amazingSpecial mention for Prasad at cricket venus to enrich us with the activities
Azone - rocket ejecter,"Activity was very good, it's first activity in Della and it was rocking experience.Tj guy was very helpful and his guidance was good. Best experience was bubble soccer and land zorbie."
A zone rocket ejector,"It was an amazing first time experience, started off with sky cycling which was absolutely thrilling! Further we tried rope challenge, swoop swing, rocket ejector, rappelling, flying fox and a lot of other amazing activities! The safety was spot on. Mr TJ and all marshalls helped us alot and guided us through different rides it was really a worthy jumbo pass.PS: Use your birthday :p"
Awesome experience,"All the adventures were superb... One of its type.Archery, bike ride, flying fox lane 3, cricket.Prasad was the awesome coach.Thanks a lot for such a fun."
"Swoop Swing, Sky Cycle",Very nice adventure.. Swoop is really nice everyone should try and The staff is also very helpful and they make you very comfortable before ride specially the cycling and Swoop team..Mainly Sachin and Nilesh.
ATV,Ride was very funnice behaviour all aroundTrack was very bumpy which made the ride more funKundan and kavita were very nice
Wonderful place for relaxing out of city's rush,"We spend two full days at Della and took the Adventure Park full day access pass. Many activities are covered including Archery, Shooting, Paint Ball, animal experience among others. I got an impromptu and indepth Archery lesson from Pravin Shitole , who helped me improve my aim with multiple personal lessons. Alok also helped me with my aim and improved my overall enjoyment at the park. Food on all occasions was very tasty. Both veg and non veg options were the best. I definitely recommend visiting this place multiple times."
A zone ride's,I loved the activities hereSpecially staff here take care of your activityAnd it was amazing by Mr TJ to guide us through out the daySports bar was really funWe came from Mumbai
A zone knock out,Great staff had jumbo pass knock out best ride marshal mr tj best staff gave good guidance good behaviour pf staff
A zone rocket ejector and swoop swing,It was a very good experience and i liked the management especially tj Nd he was a good guy and i enjoyed a lot
ATV,"ATV ride is amazing. Must try out. All of the ATV, dirt bike and mud rides were amazing in itself. Don't miss out.C/o Kundan and Kavitha. Thank you."
A zone rocket ejector,Fab ride and awesome start. Experience was good. Will do it again. Came from thane. Rocket ejector is best ride.Mr .TJ was helpful and removed fear and helped us with the complete ride
Della Cricket,Enjoyed thoroughly. Cricket was the best sport.Other activities are also good. You might need to spend some time waiting in the queue but its worthwhile.
ATV,"It was thrilling, fantastic. I loved it. Kundan was so kind and supportive and all the instructions give  before ride helped alot. Enjoyed thoroughly 😘😎-Nitin Dhulia"
A zone Rocket Ejector,It was nice experience I'm very excited about della Finally adventurous experience Seriously it was very amazing Especially the ride like Rocket ejector Rappelling Thank u for guiding Mr TJ and A zone team Well explained all activity and brocer map
A zone rocket ejector,Hey I’m from gujrat And went to Della adventure park Amazing adventure experience at Della adventure park Look like easy But it was adventurous rides Seriously I enjoyed the Della park Mr TJ and Sujeet kumar well explained plan I really enjoyed especially A zone rocket ejector Rapelling Flying fox Swoop swing Must try it !!!
Swoop,Awesome feeling . . Try once life... Fee like make it multiple... Good staff support... Nice people to en
Awesome place to visit,"Fun place with feary rides swoop, zorbing & ejector. Experience is amazing & time spend with friends is awesome. Mr.TJ is the man who entertain while u enjoy ur ride"
A zone rocket ejecter,"It was an amazing ride and experience. Take jumbo pack and try all event. Rocket Ejector, Zorbing, Swoop , dirt ride and all. Amazing guide met Mr. TJ."
A zone rocket ejector,It's an awesome experience.. the free fall at the end is an experience to be cherished. Me. TJ is an employee there very helpful and helps in briefing.very considerate.dont miss land zorbing  and swoop swing. Family friendly place and separate indoor space.
Sports bar,Della adventure was really amazing and exciting. Staff behavior was also good along with great ambience and sports activities. Kawsik bala guided us for playing pool.
Nice place to enjoy with friends and family,I really enjoyed cricket. Staff is very supportive special alok was very awesome. Over all activities are very nice
