Name,objects_to_be_taken,objects_taken,objects_forgot
Pandaleni Buddha caves- near Nashik_.mov.pickle,,"dress,backpack,pullover,coat",
Padmaja Naidu Himalayan park_.mov.pickle,,scissors,
Tsunoshima_OhashiShimonoseki_Yamaguchi_Prefecture_Chugoku.mp4.pickle,"Wallet/Cash,Camera,Handbag,Mobile","Sandal,coat,pullover,dress","Camera,Mobile,Wallet/Cash,Handbag"
Periyar lake - ldukki_.mov.pickle,,,
Poover island thiruvanthapuram.mov.pickle,,"dress,pullover,tie",
Pyramid of Giza- Egypt_.mov.pickle,,"dress,pullover",
Parmarth niketan ashram - Rishikesh_.mov.pickle,,tie,
Qutumbminar_.mov.pickle,,,
Tula_State_Museum_of_WeaponsTula_Tula_Oblast_Central_Russia.mp4.pickle,"Camera,Water-bottle,Cash/wallet","dress,book,toothbrush,laptop,coat,pullover","Camera,Water-bottle,Cash/wallet"
Triveni_GhatRishikesh_Dehradun_District_Uttarakhand.mp4.pickle,"Camera,Wallet/Cash,Sack,Towel,Extra cloths","dress,Sandal,coat,backpack,pullover","Camera,Sack,Extra cloths,Towel,Wallet/Cash"
Vodonapornaya_Bashnya_MuseumVladimir_Vladimir_Oblast_Central_Russia.mp4.pickle,"Sweater,Woollen Cloths,Camera,Cash/Wallet","coat,pullover,dress","Camera,Cash/Wallet,Sweater,Woollen Cloths"
Clifton_Suspension_BridgeBristol_England_.mp4.pickle,,"dress,pullover",
Nilgiri mountain railway.mov.pickle,,"coat,backpack,pullover,dress",
Coakers_WalkKodaikanal_Dindigul_District_Tamil_Nadu.mp4.pickle,camera,"dress,pullover,coat,handbag",camera
Iceland_.mov.pickle,,coat,
Red street_.mov.pickle,,,
Yalong_BaySanya_Hainan.mp4.pickle,"Swimming Costume,Swimming goggles, cap,Towel,Camera,Volleyball","dress,pullover","Swimming Costume,Swimming goggles, cap,Camera,Towel,Volleyball"
Nikka whiskey sendai factory.mov.pickle,,"backpack,pullover",
Diamond_Head_State_MonumentHonolulu_Oahu_Hawaii.mp4.pickle,"water,sweat rag,shoes,hat,sunscreen","coat,pullover,bottle,dress","sweat rag,water,sunscreen,shoes,hat"
Denver_Botanic_GardensDenver_Colorado.mp4.pickle,"sunscreen,shoes,water,camera","coat,pullover,bottle","water,sunscreen,shoes,camera"
Nanshan temple_.mov.pickle,,,
Yaroslavl_EmbankmentYaroslavl_Yaroslavl_Oblast_Central_Russia.mp4.pickle,"Camera,Storybooks,Sweater,Woollen Cloths","dress,pullover,coat","Camera,Storybooks,Sweater,Woollen Cloths"
Fushimi_Inari_taisha_ShrineKyoto_Kyoto_Prefecture_Kinki.mp4.pickle,"shoes,phone","dress,coat","shoes,phone"
Victoria_TunnelNewcastle_upon_Tyne_Tyne_and_Wear_England.mp4.pickle,"Shoes,Hoodie,Water-bottle,Wallet/Cash","coat,pullover,bottle,dress","Hoodie,Wallet/Cash,Shoes"
VialatteaSauze_d_Oulx_Province_of_Turin_Piedmont.mp4.pickle,"Ski,Woollen handgloves,Jacket,Sweater,Goggles","dress,pullover","Goggles,Jacket,Woollen handgloves,Sweater,Ski"
Red rock canyon_.mov.pickle,,"dress,tie,toothbrush,coat,umbrella,pullover,bottle",
Yokohama_Minato_Mirai_21Minatomirai_Nishi_Yokohama_Kanagawa_Prefecture_Kanto.mp4.pickle,"Wallet/Cash,Camera,Credit/Debit cards","coat,pullover,dress","Camera,Wallet/Cash,Credit/Debit cards"
Etihad_StadiumManchester_Greater_Manchester_England.mp4.pickle,"camera,smartphone,debit card","dress,pullover,coat","camera,debit card,smartphone"
USS_Midway_MuseumSan_Diego_California.mp4.pickle,"Camera,Shoes,Mobile,Water-bottle,Wallet/Cash","dress,Ankle boot,Cap,Sandal,Tiffin,Picnic,coat,pullover,bottle","Camera,Mobile,Wallet/Cash,Shoes"
River rafting_.mov.pickle,,"snowboard,skateboard",
VGP_Snow_KingdomChennai_Madras_Chennai_District_Tamil_Nadu.mp4.pickle,"Jacket,Woollen cloths,Camera,Shoes,Handgloves","dress,Ankle boot,Cap,Sandal,Tiffin,Picnic,coat,pullover","Camera,Woollen cloths,Jacket,Handgloves,Shoes"
Devrent_ValleyCappadocia.mp4.pickle,"shoes,hat,water","dress,bottle,coat","water,shoes,hat"
Newcastle memorial walk - England_.mov.pickle,,"coat,pullover,tie",
oludeniz beach - turkey_.mov.pickle,,"pullover,handbag,tie",
Novosibirsk zoo Russia_.mov.pickle,,"coat,pullover,dress,tie",
City_Palace_of_UdaipurUdaipur_Udaipur_District_Rajasthan.mp4.pickle,"Water-bottle,Sunscreen,Hat,Camera,Wallet/cash","dress,pullover,coat,bottle","Camera,Wallet/cash,Sunscreen,Hat"
Varda_Alman_KoprusuAdana_Turkish_Mediterranean_Coast.mp4.pickle,"Camera,Shoes,Sunscreen,Goggles,Water-bottle","dress,Ankle boot,Cap,Sandal,Tiffin,Picnic,coat,pullover","Camera,Goggles,Water-bottle,Sunscreen,Shoes"
Zhangjiajie_National_Forest_ParkZhangjiajie_Hunan.mp4.pickle,"Hiking shoes,Water-bottle,Camera,Mobile","dress,Cap,Sandal,Tiffin,Picnic,coat,pullover,bottle","Camera,Mobile,Hiking shoes"
Victoria_Memorial_HallKolkata_Calcutta_Kolkata_District_West_Bengal.mp4.pickle,"Camera,Mobile,Water-bottle","dress,Sandal,coat,pullover,bottle","Camera,Mobile"
Coco_BeachCandolim_Bardez_North_Goa_District_Goa.mp4.pickle,"goggles,water,shoes","toothbrush,dress,coat,bottle","water,shoes,goggles"
Wonderla_Amusement_ParkBengaluru_Bangalore_District_Karnataka.mp4.pickle,"Shoes,Camera,Swimming Costume,Extra cloths,Towel","dress,Ankle boot,Cap,Sandal,Tiffin,Picnic,coat,pullover","Camera,Swimming Costume,Extra cloths,Towel,Shoes"
Wildlife_SOSAgra_Agra_District_Uttar_Pradesh.mp4.pickle,"Camera,Water-bottle,Shoes,Binoculars","dress,Ankle boot,Cap,Sandal,Tiffin,Picnic,coat,pullover","Camera,Binoculars,Water-bottle,Shoes"
Fort_AguadaSinquerim_North_Goa_District_Goa.mp4.pickle,"shoes,bottle of water","coat,pullover,bottle,dress",shoes
Narapark- near oska Japan_.mov.pickle,,"dress,Picnic,coat,backpack,pullover,bottle",
Windsor_CastleWindsor_Windsor_and_Maidenhead_Berkshire_England_.mp4.pickle,,"dress,pullover",
